end station name,counts
1 Ave & E 16 St,2329
1 Ave & E 18 St,1636
1 Ave & E 30 St,1589
1 Ave & E 44 St,1729
10 Ave & W 28 St,2046
11 Ave & W 27 St,1471
11 Ave & W 41 St,1948
11 Ave & W 59 St,2372
12 Ave & W 40 St,3104
2 Ave & E 31 St,2826
2 Ave & E 58 St,2958
3 Ave & Schermerhorn St,432
3969.TEMP (Bike The Branches - Central Branch),204
5 Ave & E 29 St,1892
6 Ave & Broome St,1643
6 Ave & Canal St,1944
6 Ave & W 33 St,1582
8 Ave & W 31 St N,4084
8 Ave & W 33 St,2152
8 Ave & W 52 St,2238
9 Ave & W 14 St,4312
9 Ave & W 16 St,2745
9 Ave & W 18 St,1797
9 Ave & W 22 St,3354
9 Ave & W 45 St,2321
Adelphi St & Myrtle Ave,689
Allen St & Hester St,1340
Allen St & Rivington St,2285
Allen St & Stanton St,2034
Ashland Pl & Hanson Pl,1260
Atlantic Ave & Fort Greene Pl,1466
Atlantic Ave & Furman St,1541
Avenue D & E 12 St,275
Avenue D & E 3 St,464
Avenue D & E 8 St,562
Bank St & Hudson St,2273
Bank St & Washington St,2682
Barclay St & Church St,2400
Barrow St & Hudson St,2507
Bayard St & Baxter St,1691
Bedford Ave & S 9 St,301
Bialystoker Pl & Delancey St,1119
Bond St & Schermerhorn St,823
Broad St & Bridge St,929
Broadway & Battery Pl,2598
Broadway & Berry St,806
Broadway & E 14 St,4865
Broadway & E 22 St,3929
Broadway & W 24 St,4758
Broadway & W 29 St,1889
Broadway & W 32 St,2136
Broadway & W 36 St,1219
Broadway & W 37 St,1054
Broadway & W 38 St,1307
Broadway & W 41 St,2392
Broadway & W 49 St,1950
Broadway & W 51 St,2020
Broadway & W 53 St,2047
Broadway & W 56 St,3093
Broadway & W 58 St,5308
Broadway & W 60 St,1442
Bus Slip & State St,2935
Cadman Plaza E & Red Cross Pl,827
Cadman Plaza E & Tillary St,918
Cadman Plaza W & Pierrepont St,1231
Cadman Plaza West & Montague St,2197
Canal St & Rutgers St,1675
Carlton Ave & Flushing Ave,622
Carlton Ave & Park Ave,692
